"original_title,""overview"",""popularity"",""release_date"",""vote_average"",""vote_count"",""budget"",""keywords"",""director"",""comentarios""",,,,,,,
"A Guy Named Joe,""An injured surfer stranded on a buoy needs to get back to shore, but the great white shark stalking her might have other ideas."",""6.08E+16"",""6/24/2016"",""62"",""1567"",""17000000"",""mexico beach surfer island survival"",""Jaume Collet-Serra"",""""",,,,,,,
"Bathing Beauty,""We always knew they were coming back. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliensâ€™ advanced and unprecedented force. Only the ingenuity of a few brave men and women can bring our world back from the brink of extinction."",""48775723"",""6/22/2016"",""49"",""2491"",""165000000"",""alternate history alien invasion"",""Roland Emmerich"",""""",,,,,,,
"The Valley of Decision,""The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes."",""3.15E+16"",""6/18/2016"",""59"",""3462"",""75000000"",""pet bunny anthropomorphism dog animal"",""Chris Renaud"",""""",,,,,,,
"State Fair,""After he reunites with an old pal through Facebook, a mild-mannered accountant is lured into the world of international espionage."",""45318703"",""6/15/2016"",""62"",""1650"",""50000000"",""spy cia espionage high school reunion reference to facebook"",""Rawson Marshall Thurber"",""""",,,,,,,
"The Lost Weekend,""When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has."",""38150787"",""6/8/2016"",""64"",""887"",""7000000"",""model"",""Nicolas Winding Refn"",""""",,,,,,,
"Spellbound,""One year after outwitting the FBI and winning the publicâ€™s adulation with their mind-bending spectacles, the Four Horsemen resurface only to find themselves face to face with a new enemy who enlists them to pull off their most dangerous heist yet."",""51535701"",""6/2/2016"",""67"",""3235"",""90000000"",""london england china magic secret society vigilante"",""Jon M. Chu"",""""",,,,,,,
"It's a Wonderful Life,""A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine."",""5.32E+16"",""6/2/2016"",""76"",""2562"",""20000000"",""england based on novel depression small town wheelchair"",""Thea Sharrock"",""""",,,,,,,
"The Best Years of Our Lives,""The BFG is no ordinary bone-crunching giant. He is far too nice and jumbly. It's lucky for Sophie that he is. Had she been carried off in the middle of the night by the Bloodbottler, or any of the other giantsâ€”rather than the BFGâ€”she would have soon become breakfast. When Sophie hears that the giants are flush-bunking off to England to swollomp a few nice little chiddlers, she decides she must stop them once and for all. And the BFG is going to help her!"",""4419092"",""6/1/2016"",""60"",""1000"",""140000000"",""london england england based on novel queen little girl"",""Steven Spielberg"",""""",,,,,,,
"Duel in the Sun,""After supervillain Shredder escapes custody, he joins forces with mad scientist Baxter Stockman and two dimwitted henchmen, Bebop and Rocksteady, to unleash a diabolical plan to take over the world. As the Turtles prepare to take on Shredder and his new crew, they find themselves facing an even greater evil with similar intentions: the notorious Krang."",""39873791"",""6/1/2016"",""58"",""963"",""135000000"",""brother brother relationship turtle sequel based on comic book ninja"",""Dave Green"",""""",,,,,,,
"Gentleman's Agreement,""In the sequel to Tim Burton's """"Alice in Wonderland"""", Alice Kingsleigh returns to Underland and faces a new adventure in saving the Mad Hatter."",""5.63E+16"",""5/25/2016"",""65"",""1725"",""170000000"",""based on novel clock queen sequel alice in wonderland"",""James Bobin"",""""",,,,,,,
